I_A,F_rise_N,F_rise_std,F_fall_N,F_fall_std
0.25,-0.28,0.31,16.68,1.38
0.75,0.50,0.58,23.41,1.72
1.25,2.29,0.94,29.54,2.08
1.75,5.53,1.02,36.03,1.88
2.25,11.63,1.90,41.21,2.82
2.75,17.88,1.98,46.06,2.89
3.25,22.98,2.03,52.46,2.13
3.75,28.12,2.83,62.88,1.08
4.25,33.44,2.85,72.45,2.33
4.75,37.37,3.26,78.19,3.98
5.25,41.84,2.98,82.97,4.27
5.75,45.81,3.35,87.20,4.56
6.25,49.57,3.35,92.56,4.19
6.75,53.28,3.08,99.61,3.70
7.25,57.63,2.89,105.36,4.13
7.75,61.64,2.82,111.81,4.14
8.25,65.66,2.59,116.54,4.29
8.75,69.65,2.10,125.30,4.13
9.25,75.28,1.36,132.45,5.00
9.75,82.56,2.74,142.40,4.13
10.25,92.35,4.83,147.46,3.65
10.75,105.45,7.34,153.03,4.07
11.25,118.54,6.13,161.14,4.00
11.75,126.68,3.76,167.53,3.04
12.25,134.93,1.83,171.67,2.61
12.75,143.63,1.88,174.80,2.35
13.25,150.90,2.40,177.30,2.27
13.75,162.74,3.13,179.22,2.29
