Addr(dec),Size(byte),Group,Sub,Name,Access,Type,Default,Range,Scale/Unit,Bit/State Def,Note,,,,,,,,,,,,
,,,,,,,,,,,Total 256 byte | 1 addr = 1 byte | Little-Endian | 실제값 = raw × Scale,,,,,,,,,,,,
====================================================,,,,,, [DEFINE]  ,???? [   0  :,15  ] ????,( 16 byte ),시스템 설정 파라미터  ===============================================,,,,,,,,,,,,,
0,1,DEFINE,,SYS_WRITE_MODE,R/W,uint8_t,0,0~1,?,\,DEFINE 영역 R/W 레지스터 쓰기 허용 키,,,,,,,,,,,,
1,1,DEFINE,,ERR_TIMEOUT,R/W,uint8_t,15,10 - 500,ms,,HW Time,,,,,,,,,,,,
2,1,DEFINE,,FATAL_TIMEOUT,R/W,uint8_t,10,0 - 100,100 ms,0 = FATAL 감지 X ,,,,,,,,,,,,,
3,1,DEFINE,,ERR_CNT,R/W,uint8_t,5,0 - 10,count,,,,,,,,,,,,,,
4,1,DEFINE,,FATAL_CNT,R/W,uint8_t,10,0 - 100,count,0 = FATAL 감지 X ,RD_SYSTEM_Checker 임계 카운트,,,,,,,,,,,,
5,1,DEFINE,,hw_reset,R/W,bitfield,0,?,?,UART2 | UART4 | UART6 | I2C1 | RSVD,1 세트 시 해당 HW 소프트 리셋 트리거,,,,,,,,,,,,
6,10,DEFINE,,RESERVED,?,?,?,?,?,,미래 확장용,,,,,,,,,,,,
====================================================,,,,,, [RESERVED]  ,???? [   16  :,45  ] ????,( 30 byte ),미래 확장용  ===============================================,,,,,,,,,,,,,
16,30,RESERVED,,RESERVED,?,?,?,?,?,,읽으면 0x00 반환 / 쓰기 무시,,,,,,,,,,,,
====================================================,,,,,, [SYSTEM]  ,???? [   46  :,61  ] ????,( 16 byte ),시스템 상태  ===============================================,,,,,,,,,,,,,
46,1,DIAG,cmd,degarded_cnt[0],R/O,uint8_t,0,0~100,%,(uint8_t)((input * 26) >> 8);,uart2,,,,,,,,,,,,
47,1,DIAG,cmd,degarded_cnt[1],R/O,uint8_t,0,0~100,%,(동일),uart4,,,,,,,,,,,,
48,1,DIAG,cmd,degarded_cnt[2],R/O,uint8_t,0,0~100,%,(동일),uart6,,,,,,,,,,,,
